NA	Sinella_curviseta	Nilaparvata_lugens	Sogatella_furcifera	Laodelphax_striatellus	Apolygus_lucorum	Rhodnius_prolixus	Triatoma_rubrofasciata	Pachypsylla_venusta	Phenacoccus_solenopsis	Hormaphis_cornu	Eriosoma_lanigerum	Rhopalosiphum_maidis	Acyrthosiphon_pisum	Sitobion_miscanthi	Timema_cristinae	Neodiprion_lecontei	Aphidius_gifuensis	Belonocnema_treatae	Pteromalus_puparum	Nasonia_vitripennis	Vespula_vulgaris	Vespula_pensylvanica	Ooceraea_biroi	Formica_selysi	Solenopsis_invicta	Monomorium_pharaonis	Nomia_melanderi	Augochlora_pura	Augochlorella_aurata	Agapostemon_virescens	Halictus_ligatus	Lasioglossum_albipes	Lasioglossum_leucozonium	Apis_mellifera	Apis_cerana	Bombus_ignitus	Bombus_turneri	Bombus_haemorrhoidalis	Bombus_breviceps	Bombus_pyrosoma	Chrysoperla_carnea	Pogonus_chalceus	Photinus_pyralis	Rhagonycha_fulva	Propylea_japonica	P_sulphureomaculatus	Pyrochroa_serraticornis	Tribolium_castaneum	Anopheles_albimanus	Aedes_aegypti	Culex_quinquefasciatus	Clogmia_albipunctata	Hermetia_illucens	Scaeva_pyrastri	Xylota_sylvarum	Syritta_pipien	Eristalis_tenax	Bactrocera_tryoni	Teleopsis_dalmanni	Tachina_fera	Sarcophaga_peregrina	Drosophila_virilis	Drosophila_pseudoobscura	Drosophila_melanogaster	Tinea_trinotella	Notocelia_uddmanniana	Apotomis_turbidana	Hedya_salicella	Carposina_sasakii	Blastobasis_lacticolella	Erynnis_tages	Hesperia_comma	Ochlodes_sylvanus	Leptidea_sinapis	Colias_croceus	Zerene_cesonia	Anthocharis_cardamines	Pieris_rapae	Pieris_brassicae	Pieris_napi	Lycaena_phlaea	Glaucopsyche_alexis	Celastrina_argiolus	Plebejus_argus	Cyaniris_semiargus	Aricia_agestis	Lysandra_bellargus	Lysandra_coridon	Danaus_plexippus	Pararge_aegeria	Maniola_jurtina	Maniola_hyperantus	Limenitis_camilla	Boloria_selene	Fabriciana_adippe	Mellicta_athalia	Melitaea_cinxia	Vanessa_atalanta	Vanessa_cardui	Nymphalis_polychloros	Inachis_io	Nymphalis_urticae	Endotricha_flammealis	Cnaphalocrocis_medinalis	Thyatira_batis	Hylaea_fasciaria	Ennomos_fuscantarius	Ectropis_grisescens	Erannis_defoliaria	Biston_betularia	Dendrolimus_punctatus	Bombyx_mori	Deilephila_porcellus	Manduca_sexta	Mimas_tiliae	Laothoe_populi	Clostera_curtula	Phalera_bucephala	Notodonta_dromedarius	Pheosia_tremula	Pheosia_gnoma	Euproctis_similis	Lymantria_monacha	Schrankia_costaestrigalis	Laspeyria_flexula	Spilosoma_lubricipeda	Hypena_proboscidalis	Abrostola_tripartita	Autographa_gamma	Autographa_pulchrina	Craniophora_ligustri	Amphipyra_tragopoginis	Spodoptera_frugiperda	Spodoptera_exigua	Mythimna_impura	Mamestra_brassicae	Hecatera_dysodea	Ochropleura_plecta	Noctua_fimbriata	Xestia_xanthographa	Phlogophora_meticulosa	Cosmia_trapezina	Atethmia_centrago
Sinella_curviseta	NA	18	24	22.5	25	18	20	6	22	22	18	18	14	14	44	30	28	30	32	28	38	38	27.5	36	37.5	34	38	30	30	32.5	34	28	30	44	40	44	42	42	42	44	24	14	26	34	25	27	18	22	17	12	15.5	21.5	24	24	22	20	22	20	19	14	14	10	18	20	38	42	38	38	34	34	40	42	44	36	38	36	36	38	40	40	42	36	34	40	34	34	34	34	42	40	32	34	40	35	34	38	40	40	30	32	40	40	32	32	40	40	40	40	37	36	39	40	34	28	40	30	38	34	32	32	32	38	38	40	44	36	34	36	40	34	34	40	36.5	40	38	34	34	40	38	42	34	38	40
Nilaparvata_lugens	18	NA	2104.5	2123	54	86	87.5	28	48	36	40	44	46	36	62	52	20	26	50	48	30	30	32	43.5	34	34	50	44	42	34	44	34	42	46	44	48	48	40	44	48	50	32	34	64	41.5	41	46	50	20	24	18	18	22	18	22	20	22	20	8	16	16	10	10	14	58	54	46	48	53.5	54	60	54	58	50	54	52	56	54	56	56	60	60	52	60	58	54	50	52	50	52	48	48	56	51	54	56	54	56	52	52	52	52	52	42	54	56	54	50	55	52	50	56	50	40.5	54	48	54	50	48	48	48	50	52	56	54	50	48	50	54	50	50	50	39	50	52	48	48	52	48	48	48	52	52
Sogatella_furcifera	24	2104.5	NA	2965.5	56	94	95.5	30	58.5	46	52	54	54	42	62	54	24	42	54	48	36	36	42	45.5	44	40	58	46	50	38	54	40	48	58	54	54	50	46	52	54	56	30	44	66	47.5	55	56	62	26	34	30	18	28	24	24	22	22	18	10	16	16	10	10	14	58	66	54	58	51.5	56	60	60	64	48	58	50	66	56	58	58	58	58	56	58	52	54	52	52	54	58	52	54	62	53	58	60	58	62	56	54	56	56	56	48	62	60	60	58	61	60	54	62	52	48	58	48	56	56	52	52	52	54	52	62	60	56	50	56	58	54	50	56	45	58	58	56	54	56	54	54	54	56	58
Laodelphax_striatellus	22.5	2123	2965.5	NA	60.5	102.5	104	30	54.5	41.5	47.5	52	50	44	62	48.5	26	42.5	56.5	48	40.5	40.5	38.5	41.5	42.5	38	58.5	44	46.5	36.5	52.5	38.5	46	56.5	52	54.5	50	44.5	50.5	54.5	58.5	32	50.5	72.5	45	55.5	50	68	26	36	28	20	26	22	24.5	20.5	24.5	22.5	14	18	18	10	10.5	14.5	62.5	72.5	62.5	66.5	58	60.5	64	64.5	70.5	54.5	62	58.5	68.5	62	62.5	64.5	68.5	66	60.5	66	60	62	56	58	60.5	62.5	58	58.5	66.5	59	62	62	62.5	66.5	60	58	60.5	60.5	64.5	54.5	64.5	66	64.5	58	65.5	60	64	68.5	54.5	42.5	62.5	50	60	60.5	56	56	56	60.5	58	66.5	62.5	60.5	56.5	60.5	62.5	56.5	56.5	60.5	52	60.5	60	58.5	58.5	60	56	60.5	58.5	60	62.5
Apolygus_lucorum	25	54	56	60.5	NA	231.5	227.5	13	36.5	26	30	32	29	28	44	38	22	32	32	32	24	24	24	22	22	14	34	34	32	26	28	30	36	36	34	38	34	38	38	38	28	16	34	40	38.5	32	38	40	18	26	24	30	20	16	20	16	18	16	12	16	16	14	12	8	36	33.5	29.5	29.5	32	34	38	34	36	26	34	31.5	36	30	32	32	38	36	36	36	34	34	34	34	40	40	38	36	38	35.5	36	42	44	44	40	40	44	42	37	36	36	34	38	42	41.5	44	31	36	38	26	40	36	34	36	34	34	34	38	36	36	38	34	34	36	38	36	32	36	31.5	38	37	36	36	36	36	38	36	36	38
Rhodnius_prolixus	18	86	94	102.5	231.5	NA	4041	30	74	52	52	52	53	50	105.5	106	60	70	80	72	72	72	60	60	64	58	76	74	78	70	64	72	70	98	92	78	82	74	82	80	78	50	76	88	49.5	72	77.5	79	46	56	54	44	46	36	40	38	40	36	32	32	30	24	26	24	70	70	76	74	66	63.5	60	66	64	60	68	57.5	66	60	66	66	70	66	70	62	64	66	62	58	64	66	62	66	68	56	62	64	68	68	64	64	66	66	67	62	65.5	64	68	64	66	62	61	64	68	62	68	68	66	68	64	63.5	64	70	68	70	72	68	70	68	68	70	62	66	61.5	64	66	68	68	66	62	66	68	64	69.5
Triatoma_rubrofasciata	20	87.5	95.5	104	227.5	4041	NA	30	75	54	54	52	52	50	100	104	60	68	73.5	67.5	67.5	67.5	60	57.5	61.5	55.5	73.5	70	75.5	62	59.5	70	65.5	92	88	74	78	70	78	76	80	48	76	83.5	43.5	73.5	76	77	46	52	50	40	44	34	38	34	38	36	32.5	30	28	24	24	24	80.5	75.5	77.5	79.5	69.5	71	67.5	69.5	69.5	65.5	73.5	63	71.5	67.5	71.5	73.5	73.5	69.5	75.5	67.5	71.5	71.5	67.5	63.5	69.5	71.5	67.5	71.5	73.5	59.5	67.5	73.5	76	71.5	67.5	69.5	71.5	71.5	71.5	66	71	71.5	75.5	67.5	73.5	67.5	69.5	71.5	73.5	66.5	73.5	71.5	71.5	73.5	69.5	69	69.5	75.5	73.5	76.5	75.5	73.5	77.5	73.5	73.5	73.5	67.5	71.5	62	69.5	71.5	73.5	73.5	71.5	67.5	71.5	73.5	67.5	75
Pachypsylla_venusta	6	28	30	30	13	30	30	NA	36.5	28	27.5	21.5	21.5	21.5	32	22	24	20	32	30	30	30	22	23.5	24	20	22	28	26	28	22	26	26	40	38	36	34	30	34	36	36	20	30	28	21	24	30	30	14	16	16	6	16	14	18	22	16	12	15.5	12	12	16	6	8	32	28	28	30	32	28	36	28	30	20	26	26	24	24	22	22	28	28	28	28	32	28	28	26	24	24	22	24	26	26	26	30	30	26	26	26	26	26	32	26	30	32	30	28	32	30	30	30	30	24.5	32	30	28	30	30	30	30	32	30	28	30	32	32	30	32	32	30	30	28	32	30	30	30	30	30	30	30	30	30
Phenacoccus_solenopsis	22	48	58.5	54.5	36.5	74	75	36.5	NA	106.5	114.5	108.5	106.5	102	76.5	54	50	64	67.5	69.5	64	64	62	58	56	54	66	62	64	56	62	64	76	78	80	72	70	66	72	72	60.5	34	58	70	40	56	66	66	36	42	46	45	60	56	56	50	60	42	33	37.5	34	26	26	22	70	73.5	73.5	73.5	75.5	76	76	75.5	73.5	67.5	73.5	69.5	71.5	71.5	69.5	71.5	73.5	69.5	75.5	77.5	73.5	75.5	75.5	69.5	75.5	73.5	73.5	73.5	73.5	71.5	69.5	65.5	67.5	75.5	75.5	75.5	73.5	73.5	73.5	67.5	81.5	79.5	79.5	77.5	79.5	79.5	73	77.5	79.5	64	79.5	75.5	77.5	79	79.5	81.5	79.5	81.5	79.5	75.5	75.5	77.5	77.5	79.5	79.5	77.5	79.5	75.5	63	77.5	77.5	77.5	77.5	79.5	77.5	77.5	79.5	77.5	79
Hormaphis_cornu	22	36	46	41.5	26	52	54	28	106.5	NA	1799	1392.5	1247	1189	54	28	26	38	48	48	42	42	34	38	40	32	34	50	52	36	40	34	44	52	52	44	46	40	44	44	28	18	32	40	27.5	41.5	40	54	24	25.5	32	20	20	26	26	26	24	20	16	20	20	20	22	18	38	40	36	36	36	38	38	36	38	26	36	32	36	34	36	36	38	34	36	40	36	36	36	34	32	34	32	32	36	35	34	36	34	34	30	30	30	30	36	38	40	44	40	36	35	36	38	40	36	34.5	40	36	40	36	36	36	36	40	40	42	38	36	36	36	40	36	36	38	33.5	38	40	36	36	40	36	36	36	40	40
